,Country,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
0,AFG,1901.0,-0.11,2.36,9.1,13.5,18.12,22.19,25.28,23.66,19.3,11.4,8.34,3.78
1,AFG,1902.0,2.16,2.4,7.6,12.48,19.3,24.0,24.99,24.14,18.95,12.93,7.06,3.17
2,AFG,1903.0,-1.34,2.59,2.79,11.34,17.18,23.34,24.78,23.85,19.72,14.0,5.92,1.08
3,AFG,1904.0,-4.99,4.06,7.53,11.91,18.05,22.89,25.0,23.93,18.7,11.26,8.63,3.8
4,AFG,1905.0,-1.65,-0.99,3.82,12.86,18.58,23.47,25.1,23.75,19.02,14.57,7.55,1.93
5,AFG,1906.0,-1.01,0.77,6.89,10.91,18.55,23.59,24.86,24.73,18.76,14.08,7.67,3.9
6,AFG,1907.0,0.85,0.69,6.63,13.42,16.47,21.42,25.18,23.39,18.67,11.09,5.82,2.63
7,AFG,1908.0,0.76,1.72,6.06,12.75,17.26,23.04,25.57,23.53,18.72,11.29,7.76,2.28
8,AFG,1909.0,-1.84,2.04,7.98,14.31,17.99,22.98,24.55,24.09,18.56,12.44,9.77,3.58
9,AFG,1910.0,1.09,2.88,5.94,12.02,19.13,22.72,25.43,23.92,18.68,12.71,6.25,-0.97
10,AFG,1911.0,-1.25,2.59,6.07,12.51,18.48,23.89,24.75,23.85,19.24,11.94,5.23,0.8
11,AFG,1912.0,0.2,4.18,7.06,13.46,17.81,23.42,25.55,23.12,17.47,13.96,6.27,2.0
12,AFG,1913.0,1.52,0.53,5.19,11.46,19.22,22.75,25.78,23.22,18.94,13.3,6.97,3.9
13,AFG,1914.0,3.85,2.1,7.92,13.44,18.18,24.81,25.46,23.87,20.07,13.27,7.19,0.41
14,AFG,1915.0,1.97,1.79,10.75,13.04,20.37,23.9,24.73,24.94,20.6,13.23,8.43,3.49
15,AFG,1916.0,1.93,0.34,7.93,13.76,18.07,21.74,24.86,25.11,19.05,12.04,3.46,2.23
16,AFG,1917.0,3.22,4.77,7.61,13.37,19.9,22.74,24.79,23.76,18.72,11.66,5.73,1.14
17,AFG,1918.0,0.17,2.23,5.99,11.24,18.93,22.59,25.45,23.59,18.84,12.95,6.07,0.97
18,AFG,1919.0,-1.44,1.25,6.46,13.29,17.18,23.31,25.37,23.68,18.21,12.81,6.66,2.23
19,AFG,1920.0,1.13,-1.02,7.23,10.99,16.31,22.14,24.42,23.02,19.14,13.6,5.02,-1.38
20,AFG,1921.0,0.5,1.46,6.12,14.04,17.13,22.48,25.24,22.61,18.3,12.76,6.64,3.1
21,AFG,1922.0,1.32,2.15,8.01,13.63,17.68,22.73,24.99,23.57,18.97,13.26,7.6,3.32
22,AFG,1923.0,0.22,1.96,7.83,12.2,17.45,22.92,24.04,23.93,16.92,12.52,5.42,0.56
23,AFG,1924.0,0.55,2.36,7.93,12.58,15.68,22.06,25.0,23.85,18.05,12.94,6.39,1.28
24,AFG,1925.0,-1.76,-0.68,9.04,13.68,18.75,23.52,25.41,23.7,19.03,13.66,6.27,4.61
25,AFG,1926.0,1.45,3.25,7.64,10.85,18.22,22.45,24.87,24.87,19.47,12.86,3.74,3.13
26,AFG,1927.0,-1.93,0.89,5.48,13.42,18.35,23.1,25.83,24.12,19.25,14.92,6.51,2.84
27,AFG,1928.0,-1.57,2.02,5.02,13.48,18.79,23.21,24.1,22.61,17.61,12.77,7.17,1.65
28,AFG,1929.0,-3.35,0.19,8.31,15.05,17.89,22.31,24.5,22.78,20.01,11.82,5.99,-1.85
29,AFG,1930.0,-4.93,-0.12,7.01,11.92,18.03,23.32,25.71,23.3,17.59,12.59,8.06,0.64
30,AFG,1931.0,0.14,-2.6,7.71,14.29,16.64,21.69,24.4,24.43,19.7,12.86,5.57,1.36
31,AFG,1932.0,0.57,2.64,8.24,14.8,16.92,22.82,25.54,22.65,19.07,12.01,5.66,-1.32
32,AFG,1933.0,-3.06,3.02,5.5,11.97,18.72,22.9,25.99,23.73,18.24,12.59,7.34,3.47
33,AFG,1934.0,-4.5,4.49,6.9,12.27,15.45,23.16,24.77,24.28,18.24,11.98,5.26,2.87
34,AFG,1935.0,-3.15,3.42,7.35,11.96,17.33,21.13,24.98,24.36,18.62,12.83,5.23,1.74
35,AFG,1936.0,-1.28,3.6,5.29,12.33,19.88,23.7,25.02,23.51,19.84,14.69,6.39,0.86
36,AFG,1937.0,-2.21,2.72,5.09,10.97,18.34,23.4,25.47,24.46,19.34,12.27,5.32,0.77
37,AFG,1938.0,0.81,2.78,6.23,14.41,20.62,22.32,24.49,23.91,18.82,12.8,5.22,2.18
38,AFG,1939.0,1.11,2.08,5.21,10.2,17.82,24.46,25.27,23.82,19.74,13.35,7.65,4.79
39,AFG,1940.0,2.02,4.09,5.77,13.39,18.29,23.97,25.87,23.37,19.22,14.68,7.98,3.7
40,AFG,1941.0,0.25,5.37,9.95,14.45,20.0,24.37,24.96,24.72,19.16,15.82,7.47,3.08
41,AFG,1942.0,0.7,1.24,8.62,13.57,18.98,23.0,25.45,23.25,18.56,14.04,9.18,1.47
42,AFG,1943.0,-0.85,1.9,5.85,11.91,17.33,22.3,25.39,24.14,18.94,12.44,6.63,4.26
