name,artists,year,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
Shape of You,Ed Sheeran,2017,0.825,0.652,1,-3.183,0,0.0802,0.581,0.0,0.0931,0.931,95.977,233713,4
Despacito - Remix,Luis Fonsi,2017,0.694,0.815,2,-4.328,1,0.12,0.229,0.0,0.0924,0.813,88.931,228827,4
Despacito (Featuring Daddy Yankee),Luis Fonsi,2017,0.66,0.786,2,-4.757,1,0.17,0.209,0.0,0.112,0.846,177.833,228200,4
Something Just Like This,The Chainsmokers,2017,0.617,0.635,11,-6.769,0,0.0317,0.0498,1.44e-05,0.164,0.446,103.019,247160,4
I'm the One,DJ Khaled,2017,0.609,0.668,7,-4.284,1,0.0367,0.0552,0.0,0.167,0.811,80.924,288600,4
HUMBLE.,Kendrick Lamar,2017,0.904,0.611,1,-6.842,0,0.0888,0.000259,2.03e-05,0.0976,0.4,150.02,177000,4
It Ain't Me (with Selena Gomez),Kygo,2017,0.64,0.533,0,-6.596,1,0.0706,0.119,0.0,0.0864,0.515,99.968,220781,4
Unforgettable,French Montana,2017,0.726,0.769,6,-5.043,1,0.123,0.0293,0.0101,0.104,0.733,97.985,233902,4
That's What I Like,Bruno Mars,2017,0.853,0.56,1,-4.961,1,0.0406,0.013,0.0,0.0944,0.86,134.066,206693,4
I Don’t Wanna Live Forever (Fifty Shades Darker),ZAYN,2017,0.735,0.451,0,-8.374,1,0.0585,0.0631,1.3e-05,0.325,0.0862,117.973,245200,4
XO TOUR Llif3,Lil Uzi Vert,2017,0.732,0.75,11,-6.366,0,0.231,0.00264,0.0,0.109,0.401,155.096,182707,4
Paris,The Chainsmokers,2017,0.653,0.658,2,-6.428,1,0.0304,0.0215,1.66e-06,0.0939,0.219,99.99,221507,4
Stay (with Alessia Cara),Zedd,2017,0.679,0.634,5,-5.024,0,0.0654,0.232,0.0,0.115,0.498,102.013,210091,4
Attention,Charlie Puth,2017,0.774,0.626,3,-4.432,0,0.0432,0.0969,3.12e-05,0.0848,0.777,100.041,211475,4
Mask Off,Future,2017,0.833,0.434,2,-8.795,1,0.431,0.0102,0.0219,0.165,0.281,150.062,204600,4
Congratulations,Post Malone,2017,0.627,0.812,6,-4.215,1,0.0358,0.198,0.0,0.212,0.504,123.071,220293,4
Swalla (feat. Nicki Minaj & Ty Dolla $ign),Jason Derulo,2017,0.696,0.817,1,-3.862,1,0.109,0.075,0.0,0.187,0.782,98.064,216409,4
Castle on the Hill,Ed Sheeran,2017,0.461,0.834,2,-4.868,1,0.0989,0.0232,1.14e-05,0.14,0.471,135.007,261154,4
Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit,2017,0.72,0.763,9,-4.068,0,0.0523,0.406,0.0,0.18,0.742,101.965,251088,4
Believer,Imagine Dragons,2017,0.779,0.787,10,-4.305,0,0.108,0.0524,0.0,0.14,0.708,124.982,204347,4
Mi Gente,J Balvin,2017,0.543,0.677,11,-4.915,0,0.0993,0.0148,6.21e-06,0.13,0.294,103.809,189440,4
Thunder,Imagine Dragons,2017,0.6,0.81,0,-4.749,1,0.0479,0.00683,0.21,0.155,0.298,167.88,187147,4
Say You Won't Let Go,James Arthur,2017,0.358,0.557,10,-7.398,1,0.059,0.695,0.0,0.0902,0.494,85.043,211467,4
There's Nothing Holdin' Me Back,Shawn Mendes,2017,0.857,0.8,2,-4.035,1,0.0583,0.381,0.0,0.0913,0.966,121.996,199440,4
Me Rehúso,Danny Ocean,2017,0.744,0.804,1,-6.327,1,0.0677,0.0231,0.0,0.0494,0.426,104.823,205715,4
Issues,Julia Michaels,2017,0.706,0.427,8,-6.864,1,0.0879,0.413,0.0,0.0609,0.42,113.804,176320,4
Galway Girl,Ed Sheeran,2017,0.624,0.876,9,-3.374,1,0.1,0.0735,0.0,0.327,0.781,99.943,170827,4
Scared to Be Lonely,Martin Garrix,2017,0.584,0.54,1,-7.786,0,0.0576,0.0895,0.0,0.261,0.195,137.972,220883,4
Closer,The Chainsmokers,2017,0.748,0.524,8,-5.599,1,0.0338,0.414,0.0,0.111,0.661,95.01,244960,4
Symphony (feat. Zara Larsson),Clean Bandit,2017,0.707,0.629,0,-4.581,0,0.0563,0.259,1.6e-05,0.138,0.457,122.863,212459,4
I Feel It Coming,The Weeknd,2017,0.768,0.813,0,-5.94,0,0.128,0.427,0.0,0.102,0.579,92.994,269187,4
Starboy,The Weeknd,2017,0.681,0.594,7,-7.028,1,0.282,0.165,3.49e-06,0.134,0.535,186.054,230453,4
Wild Thoughts,DJ Khaled,2017,0.671,0.672,0,-3.094,0,0.0688,0.0329,0.0,0.118,0.632,97.98,204173,4
Slide,Calvin Harris,2017,0.736,0.795,1,-3.299,0,0.0545,0.498,1.21e-06,0.254,0.511,104.066,230813,4
New Rules,Dua Lipa,2017,0.771,0.696,9,-6.258,0,0.0755,0.00256,9.71e-06,0.179,0.656,116.054,208827,4
1-800-273-8255,Logic,2017,0.629,0.572,5,-7.733,0,0.0387,0.57,0.0,0.192,0.386,100.015,250173,4
Passionfruit,Drake,2017,0.809,0.463,11,-11.377,1,0.0396,0.256,0.085,0.109,0.364,111.98,298941,4
rockstar,Post Malone,2017,0.577,0.522,5,-6.594,0,0.0984,0.13,9.03e-05,0.142,0.119,159.772,218320,4
Strip That Down,Liam Payne,2017,0.869,0.485,6,-5.595,1,0.0545,0.246,0.0,0.0765,0.527,106.028,204502,4
2U (feat. Justin Bieber),David Guetta,2017,0.548,0.65,8,-5.827,0,0.0591,0.219,0.0,0.225,0.557,144.937,194897,4
Perfect,Ed Sheeran,2017,0.599,0.448,8,-6.312,1,0.0232,0.163,0.0,0.106,0.168,95.05,263400,3
Call On Me - Ryan Riback Extended Remix,Starley,2017,0.676,0.843,0,-4.068,1,0.0367,0.0623,0.000752,0.181,0.718,105.003,222041,4
Feels,Calvin Harris,2017,0.893,0.745,11,-3.105,0,0.0571,0.0642,0.0,0.0943,0.872,101.018,223413,4
Mama,Jonas Blue,2017,0.746,0.793,11,-4.209,0,0.0412,0.11,0.0,0.0528,0.557,104.027,181615,4
Felices los 4,Maluma,2017,0.755,0.789,5,-4.502,1,0.146,0.231,0.0,0.351,0.737,93.973,229849,4
iSpy (feat. Lil Yachty),KYLE,2017,0.746,0.653,7,-6.745,1,0.289,0.378,0.0,0.229,0.672,75.016,253107,4
Location,Khalid,2017,0.736,0.449,1,-11.462,0,0.425,0.33,0.000162,0.0898,0.326,80.126,219080,4
Chantaje,Shakira,2017,0.852,0.773,8,-2.921,0,0.0776,0.187,3.05e-05,0.159,0.907,102.034,195840,4
Bad and Boujee (feat. Lil Uzi Vert),Migos,2017,0.927,0.665,11,-5.313,1,0.244,0.061,0.0,0.123,0.175,127.076,343150,4
Havana,Camila Cabello,2017,0.768,0.517,7,-4.323,0,0.0312,0.186,3.8e-05,0.104,0.418,104.992,216897,4
Solo Dance,Martin Jensen,2017,0.744,0.836,6,-2.396,0,0.0507,0.0435,0.0,0.194,0.36,114.965,174933,4
Fake Love,Drake,2017,0.927,0.488,9,-9.433,0,0.42,0.108,0.0,0.196,0.605,133.987,210937,4
Let Me Love You,DJ Snake,2017,0.476,0.718,8,-5.309,1,0.0576,0.0784,1.02e-05,0.122,0.142,199.864,205947,4
More Than You Know,Axwell /\ Ingrosso,2017,0.644,0.743,5,-5.002,0,0.0355,0.034,0.0,0.257,0.544,123.074,203000,4
One Dance,Drake,2017,0.791,0.619,1,-5.886,1,0.0532,0.00784,0.00423,0.351,0.371,103.989,173987,4
SUBEME LA RADIO,Enrique Iglesias,2017,0.684,0.823,9,-3.297,0,0.0773,0.0744,0.0,0.111,0.647,91.048,208163,4
Pretty Girl - Cheat Codes X CADE Remix,Maggie Lindemann,2017,0.703,0.868,7,-4.661,0,0.0291,0.15,0.132,0.104,0.733,121.03,193613,4
Sorry Not Sorry,Demi Lovato,2017,0.704,0.633,11,-6.923,0,0.241,0.0214,0.0,0.29,0.863,144.021,203760,4
Redbone,Childish Gambino,2017,0.743,0.359,1,-10.401,1,0.0794,0.199,0.00611,0.137,0.587,160.083,326933,4
24K Magic,Bruno Mars,2017,0.818,0.803,1,-4.282,1,0.0797,0.034,0.0,0.153,0.632,106.97,225983,4
DNA.,Kendrick Lamar,2017,0.637,0.514,1,-6.763,1,0.365,0.0047,0.0,0.094,0.402,139.931,185947,4
El Amante,Nicky Jam,2017,0.683,0.691,8,-5.535,1,0.0432,0.243,0.0,0.14,0.732,179.91,219507,4
You Don't Know Me - Radio Edit,Jax Jones,2017,0.876,0.669,11,-6.054,0,0.138,0.163,0.0,0.185,0.682,124.007,213947,4
Chained To The Rhythm,Katy Perry,2017,0.448,0.801,0,-5.363,1,0.165,0.0733,0.0,0.146,0.462,189.798,237734,4
No Promises (feat. Demi Lovato),Cheat Codes,2017,0.741,0.667,10,-5.445,1,0.134,0.0575,0.0,0.106,0.595,112.956,223504,4
Don't Wanna Know (feat. Kendrick Lamar),Maroon 5,2017,0.775,0.617,7,-6.166,1,0.0701,0.341,0.0,0.0985,0.485,100.048,214265,4
"How Far I'll Go - From ""Moana""",Alessia Cara,2017,0.314,0.555,9,-9.601,1,0.37,0.157,0.000108,0.067,0.159,179.666,175517,4
Slow Hands,Niall Horan,2017,0.734,0.418,0,-6.678,1,0.0425,0.0129,0.0,0.0579,0.868,85.909,188174,4
Escápate Conmigo,Wisin,2017,0.747,0.864,8,-3.181,0,0.0599,0.0245,4.46e-05,0.0853,0.754,92.028,232787,4
Bounce Back,Big Sean,2017,0.77,0.567,2,-5.698,1,0.175,0.105,0.0,0.125,0.26,81.477,222360,4
Sign of the Times,Harry Styles,2017,0.516,0.595,5,-4.63,1,0.0313,0.0275,0.0,0.109,0.222,119.972,340707,4
goosebumps,Travis Scott,2017,0.841,0.728,7,-3.37,1,0.0484,0.0847,0.0,0.149,0.43,130.049,243837,4
Young Dumb & Broke,Khalid,2017,0.798,0.539,1,-6.351,1,0.0421,0.199,1.66e-05,0.165,0.394,136.949,202547,4
There for You,Martin Garrix,2017,0.611,0.644,6,-7.607,0,0.0553,0.124,0.0,0.124,0.13,105.969,221904,4
Cold (feat. Future),Maroon 5,2017,0.697,0.716,9,-6.288,0,0.113,0.118,0.0,0.0424,0.506,99.905,234308,4
Silence,Marshmello,2017,0.52,0.761,4,-3.093,1,0.0853,0.256,4.96e-06,0.17,0.286,141.971,180823,4
Too Good At Goodbyes,Sam Smith,2017,0.698,0.375,5,-8.279,1,0.0491,0.652,0.0,0.173,0.534,91.92,201000,4
Just Hold On,Steve Aoki,2017,0.647,0.932,11,-3.515,1,0.0824,0.00383,1.5e-06,0.0574,0.374,114.991,198774,4
Look What You Made Me Do,Taylor Swift,2017,0.773,0.68,9,-6.378,0,0.141,0.213,1.57e-05,0.122,0.497,128.062,211859,4
Glorious (feat. Skylar Grey),Macklemore,2017,0.731,0.794,0,-5.126,0,0.0522,0.0323,2.59e-05,0.112,0.356,139.994,220454,4
Starving,Hailee Steinfeld,2017,0.721,0.626,4,-4.2,1,0.123,0.402,0.0,0.102,0.558,99.914,181933,4
Reggaetón Lento (Bailemos),CNCO,2017,0.761,0.838,4,-3.073,0,0.0502,0.4,0.0,0.176,0.71,93.974,222560,4
Weak,AJR,2017,0.673,0.637,5,-4.518,1,0.0429,0.137,0.0,0.184,0.678,123.98,201160,4
Side To Side,Ariana Grande,2017,0.648,0.738,6,-5.883,0,0.247,0.0408,0.0,0.292,0.603,159.145,226160,4
Otra Vez (feat. J Balvin),Zion & Lennox,2017,0.832,0.772,10,-5.429,1,0.1,0.0559,0.000486,0.44,0.704,96.016,209453,4
