angle,direction,length,order,shape,color
144.0,right,,57,spiral_star,yellow
144.0,right,,47,spiral_star,yellow
135.0,left,,147,flower,purple
,forward,100.0,159,box_flower,black
123.0,left,,29,twirl,yellow
144.0,right,,13,spiral_star,brown
,forward,100.0,81,box_flower,black
,forward,100.0,13,flower,red
45.0,left,,28,flower,brown
135.0,left,,111,flower,purple
20.0,left,,161,flower,green
,forward,290.0,58,spiral_star,purple
123.0,left,,89,twirl,black
123.0,left,,7,twirl,brown
90.0,left,,55,box_flower,green
135.0,left,,57,flower,purple
,forward,100.0,153,box_flower,brown
135.0,left,,79,flower,blue
90.0,left,,82,box_flower,blue
135.0,left,,151,flower,green
45.0,left,,5,flower,red
90.0,left,,82,box_flower,green
,forward,80.0,4,star,purple
20.0,left,,143,flower,red
,forward,100.0,148,flower,green
,forward,100.0,65,box_flower,red
144.0,right,,45,spiral_star,green
90.0,left,,136,box_flower,yellow
123.0,left,,99,twirl,yellow
45.0,left,,100,flower,brown
,forward,100.0,144,flower,green
,forward,100.0,15,flower,black
,forward,100.0,29,flower,blue
,forward,100.0,74,box_flower,brown
,forward,100.0,128,flower,brown
135.0,left,,12,flower,purple
20.0,right,,76,circle,black
144.0,right,,13,spiral_star,red
144.0,right,,37,spiral_star,brown
90.0,left,,43,box_flower,brown
,forward,100.0,4,box_flower,yellow
123.0,left,,59,twirl,blue
,forward,100.0,148,flower,brown
20.0,left,,107,box_flower,brown
,forward,180.0,36,spiral_star,blue
,forward,150.0,76,twirl,black
,forward,100.0,121,flower,black
,forward,25.0,101,circle,red
,forward,150.0,14,twirl,green
,forward,10.0,2,spiral_star,red
20.0,left,,116,box_flower,black
,forward,100.0,94,flower,red
,forward,220.0,44,spiral_star,blue
,forward,100.0,144,flower,black
45.0,left,,64,flower,yellow
144.0,right,,7,spiral_star,red
,forward,80.0,14,star,blue
,forward,100.0,36,flower,black
90.0,left,,64,box_flower,purple
123.0,left,,61,twirl,brown
,forward,100.0,58,flower,blue
,forward,100.0,9,box_flower,red
123.0,left,,99,twirl,green
,forward,190.0,38,spiral_star,yellow
,forward,100.0,13,flower,green
,forward,100.0,31,box_flower,yellow
,forward,100.0,27,flower,brown
,forward,100.0,24,flower,black
20.0,right,,72,circle,blue
,forward,100.0,9,box_flower,black
45.0,left,,118,flower,purple
123.0,left,,1,twirl,yellow
,forward,80.0,18,star,yellow
-48.0,right,,15,star,red
,forward,80.0,10,star,purple
,forward,100.0,24,flower,yellow
144.0,right,,39,spiral_star,purple
45.0,left,,127,flower,yellow
135.0,left,,106,flower,green
,forward,150.0,72,twirl,brown
144.0,right,,53,spiral_star,red
135.0,left,,79,flower,red
,forward,100.0,38,box_flower,purple
123.0,left,,5,twirl,brown
90.0,left,,88,box_flower,green
20.0,left,,8,box_flower,red
20.0,right,,84,circle,green
123.0,left,,25,twirl,blue
,forward,100.0,92,flower,blue
,forward,80.0,16,spiral_star,brown
20.0,left,,44,flower,green
,forward,320.0,64,spiral_star,yellow
20.0,right,,74,circle,brown
90.0,left,,57,box_flower,yellow
90.0,left,,46,box_flower,purple
135.0,left,,3,flower,brown
,forward,100.0,150,flower,green
20.0,left,,62,box_flower,blue
123.0,left,,27,twirl,blue
,forward,80.0,18,star,red
,forward,100.0,58,box_flower,purple
,forward,100.0,42,flower,green
,forward,100.0,42,flower,yellow
,forward,80.0,18,star,brown
123.0,left,,77,twirl,purple
90.0,left,,10,box_flower,purple
135.0,left,,129,flower,purple
123.0,left,,7,twirl,blue
,forward,100.0,31,box_flower,red
,forward,190.0,38,spiral_star,black
90.0,left,,48,box_flower,red
123.0,left,,37,twirl,green
,forward,100.0,81,box_flower,purple
,forward,150.0,80,twirl,black
20.0,left,,125,flower,black
,forward,100.0,78,flower,blue
123.0,left,,89,twirl,green
,forward,120.0,24,spiral_star,yellow
,forward,150.0,76,twirl,blue
144.0,right,,5,spiral_star,red
,forward,100.0,121,flower,red
,forward,150.0,24,twirl,green
135.0,left,,133,flower,blue
144.0,right,,35,spiral_star,yellow
,forward,25.0,107,circle,brown
,forward,100.0,45,flower,yellow
,forward,150.0,76,twirl,green
,forward,100.0,114,box_flower,blue
123.0,left,,13,twirl,brown
,forward,100.0,135,box_flower,green
144.0,right,,55,spiral_star,black
144.0,right,,45,spiral_star,blue
